date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,17.0000000000,17.1300000000,16.7900000000,16.8500000000,8091808,136797592.8500,2,0.729500,-1.691900
2026-03-03,16.8300000000,16.9900000000,16.2000000000,16.2600000000,7840031,129463004.7300,2,0.706800,-3.501500
2026-03-04,16.2500000000,16.3500000000,15.8600000000,15.9600000000,6810130,109654120.0000,2,0.614000,-1.845000
2026-03-05,16.2800000000,16.6700000000,16.1900000000,16.5500000000,8191787,135137108.6300,2,0.738500,3.696700
2026-03-06,16.4800000000,16.7200000000,16.3200000000,16.4700000000,5091726,84347620.9000,2,0.459100,-0.483400
2026-03-09,16.3100000000,16.3200000000,15.8800000000,15.9900000000,12537229,200766088.2000,2,1.130300,-2.914400
2026-03-10,16.1000000000,16.4500000000,16.0600000000,16.3600000000,7676620,125547910.8000,2,0.692100,2.313900
2026-03-11,16.4100000000,16.5400000000,16.3400000000,16.3500000000,7181924,118046316.8000,2,0.647500,-0.061100
2026-03-12,16.3700000000,16.4800000000,16.0900000000,16.2700000000,5476760,89101845.4000,2,0.493800,-0.489300
2026-03-13,16.2500000000,16.4100000000,16.1000000000,16.1100000000,6693746,108908812.2900,2,0.603500,-0.983400
2026-03-16,16.1000000000,16.1600000000,15.9100000000,16.0300000000,5825660,93252489.0000,2,0.525200,-0.496600
2026-03-17,16.1000000000,16.1700000000,15.6200000000,15.6200000000,7634985,120709293.8100,2,0.688300,-2.557700
2026-03-18,15.7000000000,15.8000000000,15.5300000000,15.6400000000,6957664,108890053.1600,2,0.627300,0.128000
2026-03-19,15.4900000000,15.5900000000,15.3400000000,15.4200000000,4950380,76478881.4000,2,0.446300,-1.406600
2026-03-20,15.4300000000,15.6000000000,15.1400000000,15.1400000000,6078929,93070967.8300,2,0.548100,-1.815800
2026-03-23,14.9500000000,15.0000000000,14.1600000000,14.3000000000,8387739,122245693.2600,2,0.756200,-5.548200
2026-03-24,14.6100000000,14.7000000000,14.3600000000,14.5800000000,8869548,128714660.1400,2,0.799700,1.958000
2026-03-25,14.5100000000,14.6900000000,14.3200000000,14.4300000000,15529080,224209454.4900,2,1.400100,-1.028800
2026-03-26,14.3600000000,14.4000000000,13.9600000000,14.0300000000,10172789,143889068.4800,2,0.917100,-2.772000
2026-03-27,13.8500000000,14.1500000000,13.7800000000,14.0600000000,8637898,121325727.1600,2,0.778800,0.213800
2026-03-30,13.9200000000,14.1000000000,13.8400000000,13.8700000000,9027780,125546562.8000,2,0.813900,-1.351400
2026-03-31,13.8700000000,13.9700000000,13.7500000000,13.7600000000,6973972,96582725.5500,2,0.628800,-0.793100
2026-04-01,13.9800000000,14.1400000000,13.9500000000,14.0300000000,9253760,130004574.2400,2,0.834300,1.962200
2026-04-02,14.0300000000,14.0300000000,13.6500000000,13.7300000000,7662516,105561143.0900,2,0.690800,-2.138300
2026-04-03,13.7300000000,13.9500000000,13.7300000000,13.7900000000,6159876,85032493.1600,2,0.555400,0.437000
2026-04-07,13.8300000000,13.8800000000,13.5000000000,13.6200000000,6438854,87821533.2400,2,0.580500,-1.232800
2026-04-08,13.8900000000,14.1100000000,13.8700000000,14.0800000000,15372489,215897948.6100,2,1.385900,3.377400
2026-04-09,14.0100000000,14.0200000000,13.7900000000,13.8800000000,8071478,112143700.7200,2,0.727700,-1.420500
2026-04-10,13.9800000000,14.2800000000,13.9300000000,14.1100000000,10800480,152886450.0000,2,0.973700,1.657100
2026-04-13,13.9500000000,14.6100000000,13.9500000000,14.4300000000,24285360,348750772.0000,2,2.189500,2.267900
2026-04-14,14.5500000000,14.7500000000,14.3700000000,14.5300000000,17300199,251076913.7900,2,1.559700,0.693000
