date,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2026-03-02,37.5300000000,45.7900000000,36.6000000000,38.1400000000,1469728,55549573.6000,2,3.590300,-0.052400
2026-03-03,37.9700000000,38.1900000000,36.1300000000,36.4600000000,1128300,41931682.0000,2,2.756200,-4.404800
2026-03-04,35.9500000000,39.5600000000,35.2100000000,39.5300000000,2178400,83087383.0000,2,5.321500,8.420200
2026-03-05,39.5000000000,42.5600000000,39.0000000000,41.0300000000,2328662,95341316.4600,2,5.688500,3.794600
2026-03-06,40.0000000000,41.2000000000,39.6100000000,40.6800000000,1412700,57144962.0000,2,3.451000,-0.853000
2026-03-09,39.6800000000,40.5900000000,39.5600000000,40.0400000000,624048,25024189.8000,2,1.524400,-1.573300
2026-03-10,40.0700000000,43.1800000000,40.0700000000,42.4000000000,1241148,52204702.6800,2,3.031900,5.894100
2026-03-11,42.0700000000,43.2900000000,41.5000000000,43.2000000000,1081100,45988140.0000,2,2.640900,1.886800
2026-03-12,43.1600000000,43.1600000000,41.0000000000,41.5000000000,1228300,51322762.0000,2,3.000500,-3.935200
2026-03-13,41.6600000000,42.8000000000,41.0000000000,41.7400000000,973300,40988404.0000,2,2.377600,0.578300
2026-03-16,41.4500000000,41.6400000000,39.6700000000,40.1400000000,986360,39742438.6000,2,2.409500,-3.833300
2026-03-17,40.1400000000,41.1400000000,39.1200000000,39.5600000000,705600,28359703.0000,2,1.723700,-1.444900
2026-03-18,39.6200000000,40.1600000000,38.7200000000,39.9900000000,501500,19797244.0000,2,1.225100,1.087000
2026-03-19,39.5000000000,40.8800000000,38.2200000000,38.6000000000,851700,33474101.0000,2,2.080600,-3.475900
2026-03-20,38.6000000000,39.9900000000,36.7400000000,37.5600000000,944800,35718325.0000,2,2.308000,-2.694300
2026-03-23,37.9800000000,37.9800000000,34.8000000000,34.9100000000,1209600,43732114.0000,2,2.954900,-7.055400
2026-03-24,35.4200000000,36.9600000000,34.5500000000,36.9400000000,914400,32639519.0000,2,2.233700,5.815000
2026-03-25,37.5000000000,39.4400000000,37.1300000000,39.1000000000,1412200,54411511.0000,2,3.449800,5.847300
2026-03-26,39.5000000000,39.5900000000,37.8500000000,38.4200000000,735900,28325193.0000,2,1.797700,-1.739100
2026-03-27,38.2000000000,39.4400000000,38.2000000000,39.1500000000,925796,36051939.8800,2,2.261600,1.900100
2026-03-30,38.1500000000,39.9300000000,38.1500000000,39.4000000000,1131700,44296390.0000,2,2.764600,0.638600
2026-03-31,39.0100000000,39.7800000000,36.0000000000,36.7600000000,1858467,69637671.5600,2,4.539900,-6.700500
2026-04-01,37.0000000000,37.4900000000,36.1000000000,37.2800000000,876700,32254000.0000,2,2.141600,1.414600
2026-04-02,37.2700000000,37.2700000000,36.1100000000,36.5600000000,389600,14284540.0000,2,0.951700,-1.931300
2026-04-03,36.0300000000,36.6700000000,35.1500000000,35.6300000000,607200,21749037.0000,2,1.483300,-2.543800
2026-04-07,35.1900000000,35.9300000000,35.1900000000,35.6000000000,382852,13622273.8000,2,0.935200,-0.084200
2026-04-08,36.0000000000,36.9700000000,36.0000000000,36.5900000000,841600,30705092.0000,2,2.055900,2.780900
2026-04-09,36.1500000000,37.2900000000,36.1000000000,37.0000000000,636000,23328916.0000,2,1.553600,1.120500
2026-04-10,37.1100000000,38.6200000000,37.0000000000,38.0000000000,1069600,40646851.0000,2,2.612900,2.702700
2026-04-13,37.8500000000,38.2200000000,37.3000000000,38.0000000000,812042,30791261.5200,2,1.983700,0.000000
2026-04-14,37.4200000000,38.5200000000,37.4200000000,38.0000000000,579746,21948348.0200,2,1.416200,0.000000
